series,notebook_code,chapter_order,chapter_title,file_path,validation_status
B01,M1_N01,1,Mathematical Thinking,content/notebooks/M1/M1_N01_mathematical_thinking.ipynb,passed
B01,M1_N02,2,Sets Logic Relations Functions,content/notebooks/M1/M1_N02_sets_logic_relations_functions.ipynb,passed
B01,M1_N03,3,Vector Foundations,content/notebooks/M1/M1_N03_vector_foundations.ipynb,passed
B01,M1_N04,4,Matrix Algebra Linear Systems,content/notebooks/M1/M1_N04_matrix_algebra_linear_systems.ipynb,passed
B01,M1_N05,5,Vector Spaces Bases Rank Projections,content/notebooks/M1/M1_N05_vector_spaces_bases_rank_projections.ipynb,passed
B01,M1_N06,6,Eigenvalues Eigenvectors Spectral Intuition,content/notebooks/M1/M1_N06_eigenvalues_eigenvectors_spectral_intuition.ipynb,passed
B01,M1_N07,7,Svd Pca Dimensionality Reduction,content/notebooks/M1/M1_N07_svd_pca_dimensionality_reduction.ipynb,passed
B01,M1_N08,8,Limits And Continuity,content/notebooks/M1/M1_N08_limits_and_continuity.ipynb,passed
B01,M1_N09,9,Derivatives Gradients Jacobians Hessians,content/notebooks/M1/M1_N09_derivatives_gradients_jacobians_hessians.ipynb,passed
B01,M1_N10,10,Integration And Accumulation,content/notebooks/M1/M1_N10_integration_and_accumulation.ipynb,passed
B01,M1_N11,11,Automatic Differentiation Gradient Checking,content/notebooks/M1/M1_N11_automatic_differentiation_gradient_checking.ipynb,passed
B01,M1_N12,12,Probability Spaces And Simulation,content/notebooks/M1/M1_N12_probability_spaces_and_simulation.ipynb,passed
B01,M1_N13,13,Conditional Probability Bayesian Updating,content/notebooks/M1/M1_N13_conditional_probability_bayesian_updating.ipynb,passed
B01,M1_N14,14,Random Variables Common Distributions,content/notebooks/M1/M1_N14_random_variables_common_distributions.ipynb,passed
B01,M1_N15,15,Expectation Variance Covariance Concentration,content/notebooks/M1/M1_N15_expectation_variance_covariance_concentration.ipynb,passed
B01,M1_N16,16,Sampling Distributions Central Limit Theorem,content/notebooks/M1/M1_N16_sampling_distributions_central_limit_theorem.ipynb,passed
B01,M1_N17,17,Estimation Confidence Intervals,content/notebooks/M1/M1_N17_estimation_confidence_intervals.ipynb,passed
B01,M1_N18,18,Hypothesis Testing Effect Size,content/notebooks/M1/M1_N18_hypothesis_testing_effect_size.ipynb,passed
B01,M1_N19,19,Maximum Likelihood Bayesian Inference,content/notebooks/M1/M1_N19_maximum_likelihood_bayesian_inference.ipynb,passed
B01,M1_N20,20,Entropy Information Measures,content/notebooks/M1/M1_N20_entropy_information_measures.ipynb,passed
